"Reynolds, Robert R."
"Ribicoff, Abraham"
"Richards, Bernard G."
"Ridder, Victor F."
"Ritchie, Albert C."
"Robbins, Ira S."
"Roberts, Owen J."
"Robertson, A. Willis"
"Robinson, Edward G."
"Robinson, Joseph T."
"Rockefeller, John D."
"Rockefeller, Nelson A."
"Roe, James A."
"Rogers, Lindsay"
"Romulo, Carlos P."
"Rooks, Lowell W."
"Rooney, John J."
"Roosevelt, Eleanor"
"Roosevelt, Elliott"
"Roosevelt, Franklin Delano"
"Roosevelt, Franklin Delano, Jr."
"Roosevelt, James M."
"Roosevelt, John A."
"Roosevelt, Sara Delano"
"Roosevelt, Theodore, Jr., and Mrs."
"Root, Elihu"
"Roper, Daniel C."
"Roper, Elmo"
"Rose, Alex"
"Rosenberg, Anna M."
"Rosenberg, Case"
"Rosenberg, James N."
"Rosenman, Samuel I."
"Rosenwald, Julius"
"Ross, N. F."
"Rossbach, J. Howard"
"Rossbach, Max J. H. and Mrs. (Mabel Limburg)"
"Rothschild, Walter N."
"Rowe, L. S. "
"Royall, Kenneth C. "
"Rusk, Dean"
"Russell, Richard B."
"Ryan, William Fitts"
"Sachar, Abram L."
"Sachs, Julius"
"Sachs, Paul J."
"Salk, Jonas E."
"Salter, Sir Arthur"
"Saltonstall, Leverett"
"Sandburg, Carl"
"Sanger, Margaret"
"Sarnoff, David"
"Sayre, Francis B."
"Scandrett, Richard B, Jr."
"Schaaf, C. Hart"
"Schary, Dore"
"Schiff, Dorothy"
"Schlesinger, Arthur, Jr."
"Schneiderman, Rose"
"Schurman, Jacob Gould"
"Schweitzer, Albert"
"Scott, W. Kerr"
"Screvane, Paul R."
"Seabury, Samuel"
"Seaton, Fred A."
"Seligman, Eustace"
"Sforza, Count Carlo"
"Shannon, William V."
"Sharett, Moshe"
"Sherwood, Robert E."
"Shientag, Bernard"
"Shih, Hu"
"Shirer, William L."
"Shotwell, James T. "
"Shouse, Jouett"
"Sigman, Morris"
"Silver, Abba Hillel"
"Silver, Charles H."
"Silvercruys, Baron Robert"
"Simkhovitch, Mary K."
"Simons, Hans"
"Slavik, Juraj"
"Slawson, John"
"Smathers, George"
"Smith, Alfred E."
"Smith, Ben"
"Smith, H. Alexander"
"Smith, Margaret Chase"
"Smith, Willis"
"Snyder, John W."
"Snyder, Murray"
"Sobel, Nathan R."
"Sobeloff, Simon E."
"Solomon, Louis H."
"Spaak, Paul Henri"
"Sparkman, John"
"Spellman, Francis, Cardinal"
"Stark, Abe"
"Stassen, Harold E."
"Steelman, John R."
"Stennis, John C."
"Stettinius, Edward R., Jr."
"Stevenson, Adlai E."
"Stimson, Henry L."
"Stone, Dewey D."
"Stone, Harlan Fiske"
"Stone, Lester B."
"Straight, Michael"
"Stratton, Samuel S."
"Straus, Jesse I."
"Straus, Nathan"
"Strauss, Anna Lord"
"Strauss, Lewis L. and Mrs. (Alice Henauer)"
"Sulzberger, Arthur Hays"
"Sulzer, William"
"Swanson, Claude A. "
"Swing, Raymond"
"Swope, Gerard"
"Swope, Herbert Bayard"
"Symington, W. Stuart"
"Szyk, Julia (Mrs. Arthur)"
"Taft, Charles P."
"Taft, Robert A. "
"Talbott, Harold E."
"Tarchiani, Alberto"
"Taylor, Glen H."
"Taylor, Myron C. "
"Temple, Shirley"
"Thacher, John Boyd II"
"Thant, U "
"Thomas, Elbert D."
"Thomas, Elmer"
"Thomas, Norman"
"Thurmond, Strom"
"Thye, Edward J."
"Tobey, Charles W. and Lillian"
"Tobias, Channing H. and Eva"
"Tobin, Maurice J."
"Toscanini, Arturo and Carla"
"Tree, Marietta Peabody"
"Tremaine, Morris S."
"Truman, Harry S"
"Tsouderas, E."
"Tugwell, Rexford G."
"Tully, Grace G."
"Tumulty, Joseph P."
"Turner, Mrs. J. Spencer (Ruth)"
"Tydings, Millard E."
"Underwood, Oscar"
"Vallee, Rudy"
"Van Kleffens, E.N."
"Van Namee, George R."
"Van Schaick, George S."
"Van Zeeland, Paul"
"Vandenberg, Arthur H., Jr."
"Vandenberg, Arthur H., Sr."
"Vanderbilt, Arthur T."
"Vanderbilt, Cornelius Jr."
"Villard, Oswald Garrison"
"Vinson, Fred M."
"Wadsworth, James J."
"Wadsworth, James W."
"Wagner, Robert F., Jr."
"Wagner, Robert F., Sr."
"Wald, Lillian"
"Walker, Frank C. "
"Walker, James J."
"Wallace, Henry A."
"Walsh, Thomas J."
"Walter, Bruno"
"Walter, Francis E."
"Warburg, Edward M.M."
"Warburg, Felix M. "
"Warburg, Frederick M."
"Warburg, Frieda"
"Warburg, James P."
"Wardwell, Allen"
"Warren, Earl"
"Watkins, Arthur V."
"Watson, Thomas J."
"Weaver, Robert C."
"Webb, James E."
"Weinfeld, Edward and Lillian"
"Weintraub, David"
"Weisgal, Meyer and Mrs."
"Weisl, Frank"
"Weizmann, Chaim"
"Welker, Herman"
"Welles, Sumner"
"West, Mae"
"Whalen, Grover A."
"Wheeler, Burton K."
"Wherry, Kenneth S."
"White, Walter"
"Whiteman, Charles S. and Mrs."
"Wickard, Claude A."
"Wiley, Alexander"
"Wilhemina, Queen"
"Wilkie, Wendell L."
"Wilkins, Roy"
"Williams College"
"Williams, G. Mennen"
"Williams, Harrison A., Jr."
"Williams, John J."
"Wilson, Charles E. [General Electric]"
"Wilson, Charles E. [General Motors]"
"Wilson, Harold "
"Winant, John G."
"Wise, Jonah B."
"Wise, Stephen S."
"Withers, Garrett Lee"
"Woll, Matthew"
"Wood, C. Tyler"
"Wood, Sir Kingsley"
"Woodin, William H."
"Woolton, Lord"
"Wouk, Herman"
"Yarborough, Ralph"
"Yates, Sidney R."
"Young, Milton R."
"Young, Owen D."
"Younger, K. G."
"Zaretzki, Joseph"
"Zaritsky, Max"
